Date,Open,High,Low,Close,Volume,Value,Frequency
2020-07-21,0,133,130,131,75.971.100,9.974.966.400,1.789
2020-07-22,0,133,129,129,54.658.500,7.094.727.500,1.729
2020-07-23,0,131,125,131,48.849.000,6.342.494.000,1.393
2020-07-24,0,131,127,128,70.528.200,9.053.845.000,1.883
2020-07-27,0,131,127,128,60.301.300,7.782.620.500,1.397
2020-07-28,0,130,127,127,28.434.900,3.634.431.600,789
2020-07-29,0,130,126,126,33.728.100,4.277.114.900,1.151
2020-07-30,0,129,122,123,59.749.600,7.383.464.500,2.142
2020-08-03,0,124,115,115,58.715.000,6.860.941.900,2.419
2020-08-04,0,118,112,114,26.097.300,3.003.371.900,1.363
2020-08-05,0,119,114,118,32.482.200,3.805.646.800,1.066
2020-08-06,0,122,118,120,17.947.900,2.154.222.800,1.212
2020-08-07,0,122,118,118,9.673.500,1.151.935.500,715
2020-08-10,0,120,117,117,10.480.100,1.233.383.100,754
2020-08-11,0,121,116,118,40.460.200,4.782.522.500,1.359
2020-08-12,0,124,117,120,86.445.900,10.433.775.500,2.39
2020-08-13,0,122,118,119,24.976.400,2.992.221.400,1.103
2020-08-14,0,121,118,118,13.918.700,1.657.317.900,777
2020-08-18,0,121,118,120,60.752.300,7.270.670.700,1.756
2020-08-19,0,122,118,118,44.480.500,5.335.459.500,1.369
2020-08-24,0,120,118,119,40.102.500,4.781.016.900,1.31
2020-08-25,0,127,120,126,133.265.700,16.505.144.000,3.527
2020-08-26,0,128,123,123,72.952.100,9.084.179.300,2.024
2020-08-27,0,133,121,129,470.846.000,60.601.744.000,8.89
2020-08-28,0,133,127,128,170.423.500,22.162.058.000,4.391
2020-08-31,0,132,123,125,193.724.300,24.808.542.300,4.742
2020-09-01,0,127,122,125,47.906.100,5.967.390.400,1.44
2020-09-02,0,128,125,126,50.931.800,6.421.361.600,1.365
2020-09-03,0,128,123,123,31.819.100,3.961.626.500,1.134
2020-09-04,0,123,119,121,56.772.800,6.851.747.900,1.919
2020-09-07,0,122,119,120,46.640.400,5.617.486.600,1.677
2020-09-08,0,124,120,123,48.342.800,5.918.380.000,1.7
2020-09-09,0,123,119,120,55.907.400,6.719.683.400,1.601
2020-09-10,0,120,112,112,70.257.800,7.914.254.400,1.747
2020-09-11,0,114,105,113,95.790.700,10.483.183.100,2.586
2020-09-14,0,119,111,118,53.198.800,6.233.379.700,1.429
2020-09-15,0,119,114,116,33.693.500,3.897.529.900,1.045
2020-09-16,0,121,115,116,75.766.500,8.876.456.300,1.666
2020-09-17,0,118,115,117,53.113.200,6.204.343.800,1.087
2020-09-18,0,137,118,131,938.565.200,122.768.643.500,17.908
2020-09-21,0,137,122,122,551.252.300,71.130.328.400,13.021
2020-09-22,0,120,114,116,267.652.200,31.231.102.700,5.346
2020-09-23,0,121,113,118,141.857.400,16.507.795.400,3.346
2020-09-24,0,117,112,113,118.841.000,13.548.834.000,2.719
2020-09-25,0,116,112,114,99.483.800,11.262.273.600,3.151
2020-09-28,0,116,112,113,72.597.200,8.249.305.000,1.956
2020-09-29,0,116,112,113,48.636.800,5.534.547.800,1.129
2020-09-30,0,114,108,111,61.999.400,6.847.646.400,1.954
2020-10-01,0,115,111,112,71.065.800,7.994.498.800,1.822
2020-10-02,0,114,109,110,56.207.100,6.220.292.400,1.516
2020-10-05,0,112,109,111,40.548.800,4.467.721.600,1.387
2020-10-06,0,114,111,111,39.987.700,4.497.480.000,1.565
2020-10-07,0,113,110,112,32.173.600,3.582.137.000,1.291
2020-10-08,0,114,111,113,84.580.800,9.546.079.400,2.058
2020-10-09,0,117,113,115,83.417.500,9.615.092.200,3.118
2020-10-12,0,121,116,117,132.957.300,15.723.841.600,4.197
2020-10-13,0,120,115,119,64.841.100,7.618.269.100,2.603
2020-10-14,0,123,117,121,121.808.800,14.692.491.000,2.752
2020-10-15,0,127,120,122,219.569.500,27.388.423.800,4.846
2020-10-16,0,124,119,120,45.695.800,5.521.039.500,1.548
2020-10-19,0,126,120,124,88.578.700,10.956.793.800,2.137
2020-10-20,0,125,120,121,41.436.500,5.055.872.100,1.556
2020-10-21,0,129,121,123,178.441.700,22.278.776.500,2.747
2020-10-22,0,160,123,151,2.325.510.500,342.460.909.300,44.306
2020-10-23,0,157,146,149,662.111.800,99.942.545.400,18.713
2020-10-26,0,166,147,156,861.444.300,136.594.307.800,20.947
2020-10-27,0,165,149,155,643.301.500,100.853.056.700,13.545
2020-11-02,0,162,151,156,268.653.000,42.342.375.100,7.502
2020-11-03,0,162,155,156,110.925.600,17.521.317.700,3.201
2020-11-04,0,159,148,149,165.263.300,25.064.976.000,5.067
2020-11-05,0,155,149,151,92.581.600,14.012.178.200,3.109
2020-11-06,0,157,151,154,217.040.000,33.606.643.100,6.188
2020-11-09,0,171,156,167,670.614.400,111.193.299.100,16.381
2020-11-10,0,177,163,167,294.803.900,49.407.240.900,9.231
2020-11-11,0,170,164,164,159.144.500,26.407.304.200,5.522
2020-11-12,0,166,159,161,105.047.300,17.022.899.400,4.385
2020-11-13,0,167,158,167,149.168.500,24.451.250.300,4.515
2020-11-16,0,184,167,179,571.680.200,101.426.278.500,17.306
2020-11-17,0,199,179,191,831.207.000,159.704.056.200,24.044
2020-11-18,0,198,191,194,226.141.800,44.063.832.800,8.382
2020-11-19,0,254,194,252,1.027.079.600,232.253.647.800,31.098
2020-11-20,0,254,236,236,767.717.600,184.792.557.800,30.382
2020-11-23,0,244,224,234,285.990.300,67.713.359.000,12.496
2020-11-24,0,242,232,234,194.267.500,46.106.876.800,8.294
2020-11-25,0,252,230,232,416.907.900,100.311.126.600,13.284
2020-11-26,0,238,230,234,87.383.400,20.404.959.600,4.595
2020-11-27,0,252,234,250,672.640.000,165.599.093.000,20.748
2020-11-30,0,264,234,236,618.809.900,154.234.505.600,25.609
2020-12-01,0,244,220,236,242.433.000,56.562.709.600,9.721
2020-12-02,0,246,232,240,179.261.200,42.932.216.200,6.701
2020-12-03,0,248,240,240,182.133.700,44.344.885.400,8.232
2020-12-04,0,242,232,236,73.778.000,17.454.282.000,4.241
2020-12-07,0,244,236,240,136.455.900,32.856.814.200,6.308
2020-12-08,0,246,234,238,148.220.900,35.768.237.000,7.163
2020-12-10,0,262,238,260,759.735.200,192.638.331.200,26.099
2020-12-11,0,272,250,254,405.201.600,105.496.558.800,16.455
2020-12-14,0,260,250,252,135.777.400,34.422.759.400,6.578
2020-12-15,0,262,246,252,191.946.600,48.723.860.000,8.185
2020-12-16,0,266,252,260,267.065.400,69.667.604.400,10.55
2020-12-17,0,282,258,268,625.113.000,169.817.332.400,21.057
2020-12-18,0,286,270,278,397.500.500,110.468.183.400,13.675
2020-12-21,0,304,280,288,381.185.500,111.424.214.800,15.717
2020-12-22,0,292,268,268,402.596.700,110.869.897.000,16.695
2020-12-23,0,276,250,262,303.485.300,79.112.549.200,10.86
2020-12-28,0,268,252,258,126.589.500,32.766.990.800,6.197
2020-12-29,0,274,254,256,225.122.100,59.433.325.800,9.298
2020-12-30,0,260,242,242,203.779.800,50.636.595.000,8.792
2021-01-04,0,252,228,252,212.933.600,51.463.342.400,8.822
2021-01-05,0,272,246,260,348.661.600,91.333.181.200,12.958
2021-01-06,0,268,244,254,181.408.000,46.491.348.600,7.658
2021-01-07,0,266,254,256,127.325.800,33.052.195.800,6.804
2021-01-08,0,262,254,256,114.901.600,29.662.718.800,5.43
2021-01-11,0,270,254,264,206.506.400,53.932.198.600,8.34
2021-01-12,0,282,258,278,478.322.700,130.046.875.800,15.199
2021-01-13,0,286,264,268,262.391.900,71.433.292.400,12.15
2021-01-14,0,272,256,258,162.289.600,42.406.574.400,7.856
2021-01-15,0,268,254,260,142.623.400,37.094.710.200,5.776
2021-01-18,0,266,242,246,196.196.300,49.126.620.800,8.334
2021-01-19,0,252,230,236,145.186.800,34.633.966.600,6.686
2021-01-20,0,246,232,238,105.900.000,25.422.362.400,4.719
2021-01-21,0,260,240,248,193.416.000,48.135.481.600,8.344
2021-01-22,0,252,232,234,137.473.100,32.688.008.800,6.567
2021-01-25,0,234,218,218,178.146.900,39.400.880.800,6.581
2021-01-26,0,220,204,204,159.992.900,33.448.841.600,6.406
2021-01-27,0,204,190,200,233.091.600,45.140.635.300,7.076
2021-01-28,0,200,186,186,124.848.000,23.764.615.700,4.937
2021-01-29,0,199,182,192,260.709.600,49.774.548.000,10.776
2021-02-01,0,220,186,220,248.204.200,50.451.425.300,11.16
2021-02-02,0,228,208,210,280.851.900,60.755.403.000,10.178
2021-02-03,0,216,204,212,77.686.800,16.502.813.800,4.134
2021-02-04,0,216,206,208,71.750.600,15.155.488.400,3.658
2021-02-05,0,220,208,218,69.432.800,14.900.378.000,3.668
2021-02-08,0,226,216,224,105.562.700,23.363.587.800,6.075
2021-02-09,0,250,224,236,631.039.700,150.817.052.000,23.595
2021-02-10,0,248,228,242,199.545.200,47.831.259.000,9.931
2021-02-11,0,244,236,236,76.331.200,18.233.980.200,5.014
2021-02-15,0,256,236,248,267.609.400,66.199.535.400,13.011
2021-02-16,0,252,242,244,101.395.700,25.062.507.000,6.675
2021-02-17,0,254,232,238,230.615.500,56.277.285.800,11.101
2021-02-18,0,248,238,244,244.150.700,59.602.105.400,9.701
2021-02-19,0,256,236,244,338.648.900,84.024.786.400,14.351
2021-02-22,0,250,240,240,109.181.300,26.590.031.400,6.473
2021-02-23,0,246,238,240,51.648.000,12.449.168.400,3.263
2021-02-24,0,242,232,240,54.443.800,12.930.440.800,3.944
2021-02-25,0,244,236,238,56.223.300,13.442.363.000,3.38
2021-02-26,0,238,226,236,87.412.500,20.386.374.200,5.115
2021-03-01,0,260,236,254,700.666.500,176.381.052.000,23.625
2021-03-02,0,266,252,252,431.826.200,111.920.808.400,18.892
2021-03-03,0,256,238,244,138.299.400,34.181.143.800,8.742
2021-03-04,0,246,236,240,83.090.600,20.017.695.000,4.989
2021-03-05,0,242,232,238,54.536.200,12.951.611.200,3.402
2021-03-08,0,246,236,236,62.113.800,14.829.918.800,3.812
2021-03-09,0,240,222,230,142.610.200,32.911.117.400,6.367
2021-03-10,0,244,224,236,147.863.100,35.173.511.600,6.752
2021-03-12,0,252,236,250,292.010.800,72.156.026.600,12.111
2021-03-15,0,256,248,248,136.293.500,34.305.330.400,8.15
2021-03-16,0,252,244,244,42.698.000,10.544.285.400,3.463
2021-03-17,0,248,242,244,35.566.600,8.683.632.400,2.555
2021-03-18,0,248,242,246,33.954.700,8.311.221.200,2.207
2021-03-19,0,246,238,238,59.821.200,14.401.987.800,3.945
2021-03-22,0,244,236,238,46.926.400,11.237.896.600,3.299
2021-03-23,0,242,232,234,65.157.600,15.302.696.200,3.762
2021-03-24,0,236,230,232,41.837.900,9.702.439.400,2.742
2021-03-25,0,236,224,232,69.830.800,16.068.692.000,3.065
2021-03-26,0,238,230,236,44.091.400,10.337.809.200,2.813
2021-03-29,0,240,232,232,32.194.200,7.563.555.600,2.478
2021-03-30,0,234,222,224,62.447.900,14.102.355.000,3.488
2021-03-31,0,230,210,212,134.438.500,28.851.129.800,5.082
2021-04-01,0,218,212,216,27.348.400,5.867.148.600,1.714
2021-04-05,0,220,212,214,30.277.000,6.510.862.800,1.992
2021-04-06,0,218,212,216,35.693.100,7.653.970.800,1.918
2021-04-07,0,216,212,214,17.951.600,3.839.046.800,1.258
2021-04-08,0,228,212,222,78.338.900,17.332.590.600,3.366
2021-04-09,0,226,218,218,25.404.600,5.589.993.400,1.902
2021-04-12,0,218,204,206,83.137.700,17.397.011.200,4.101
2021-04-13,0,208,198,204,27.300.600,5.531.532.300,2.167
2021-04-14,0,208,202,204,37.124.200,7.626.743.200,1.725
2021-04-15,0,208,204,206,17.587.900,3.618.188.800,1.048
2021-04-16,0,208,204,206,18.720.900,3.858.303.600,1.184
2021-04-19,0,206,200,202,21.265.500,4.309.355.200,1.76
2021-04-20,0,208,200,204,34.980.400,7.166.895.600,1.915
2021-04-21,0,204,202,202,22.920.100,4.635.853.200,1.531
2021-04-22,0,204,198,199,25.597.400,5.126.294.300,2.059
2021-04-23,0,206,198,202,49.751.600,10.018.202.800,2.426
2021-04-26,0,204,199,200,19.692.900,3.947.042.500,1.483
2021-04-27,0,202,198,199,19.711.500,3.930.080.600,1.41
2021-04-28,0,202,198,198,20.403.500,4.051.151.500,1.696
2021-04-29,0,206,197,200,52.294.600,10.519.427.700,2.513
2021-04-30,0,202,198,198,29.629.100,5.894.996.300,1.66
2021-05-03,0,199,193,194,34.067.700,6.645.996.600,2.86
2021-05-04,0,195,187,190,51.349.800,9.762.506.900,3.2
2021-05-05,0,194,189,193,49.791.500,9.579.146.600,2.403
2021-05-06,0,198,193,194,33.186.900,6.480.571.200,2.42
2021-05-07,0,196,191,191,18.346.700,3.536.518.200,1.647
2021-05-10,0,196,191,194,20.453.700,3.966.663.500,1.55
2021-05-11,0,194,192,192,10.361.100,1.996.208.200,1.072
2021-05-17,0,194,186,186,39.176.400,7.380.517.400,2.725
2021-05-18,0,189,182,184,19.286.800,3.552.035.900,1.934
2021-05-19,0,185,179,179,21.638.800,3.910.887.000,1.903
2021-05-20,0,184,179,180,14.482.500,2.617.650.200,1.445
2021-05-21,0,182,168,168,45.461.300,7.864.321.100,2.9
2021-05-22,0,226,178,208,5.278.800,1.057.656.000,262
2021-05-24,0,172,166,167,24.960.000,4.215.906.000,1.922
2021-05-25,0,174,166,169,35.138.400,6.015.327.700,2.004
2021-05-27,0,180,169,179,37.094.300,6.554.796.500,2.524
2021-05-28,0,182,176,179,18.986.500,3.390.457.800,1.72
2021-05-31,0,187,180,181,44.502.000,8.140.288.800,2.862
2021-06-02,0,185,181,184,29.394.400,5.397.609.600,2.06
2021-06-03,0,193,184,191,48.559.700,9.242.993.800,3.466
2021-06-04,0,196,187,188,52.276.600,10.009.122.200,3.962
2021-06-07,0,192,186,187,22.193.400,4.169.895.500,1.88
2021-06-08,0,188,183,184,19.038.700,3.510.605.200,1.752
2021-06-09,0,185,181,182,18.924.900,3.454.379.000,1.465
2021-06-10,0,190,181,186,23.456.700,4.345.555.100,1.804
2021-06-11,0,190,184,185,16.534.900,3.068.741.500,1.297
2021-06-14,0,204,184,198,293.777.400,58.192.935.800,14.418
2021-06-15,0,202,190,191,60.153.500,11.629.728.500,5.261
2021-06-16,0,192,185,187,81.690.900,15.407.733.900,3.582
2021-06-17,0,187,180,180,40.858.100,7.441.931.900,3.022
2021-06-18,0,180,168,172,71.600.800,12.360.177.000,3.917
2021-06-21,0,171,166,170,28.309.000,4.751.629.500,1.657
2021-06-22,0,177,170,175,23.343.200,4.072.765.000,1.85
2021-06-23,0,179,172,172,16.074.700,2.812.310.700,1.707
2021-06-24,0,175,169,170,14.367.300,2.459.572.100,1.318
2021-06-25,0,173,165,168,21.318.700,3.586.026.000,1.655
2021-06-28,0,170,158,158,43.433.500,7.003.636.600,3.033
2021-06-29,0,163,157,159,16.964.300,2.713.931.600,1.59
2021-06-30,0,162,158,160,13.011.500,2.085.592.300,1.114
2021-07-01,0,163,159,160,14.633.400,2.346.330.800,1.042
2021-07-02,0,163,159,160,15.230.100,2.448.590.500,1.187
2021-07-05,0,163,160,160,8.428.000,1.352.544.400,1.177
2021-07-06,0,163,160,162,13.699.900,2.214.205.000,1.183
2021-07-07,0,165,160,161,11.727.600,1.896.883.400,1.126
2021-07-08,0,162,160,161,10.097.500,1.625.140.500,1.08
2021-07-09,0,163,158,158,16.535.700,2.639.130.500,1.383
2021-07-12,0,163,158,163,32.805.400,5.272.971.100,1.693
2021-07-13,0,174,159,159,81.167.500,13.461.475.000,4.453
2021-07-14,0,160,156,158,20.453.100,3.227.832.600,1.557
2021-07-15,0,160,157,157,6.130.100,968.131.400,787
2021-07-16,0,159,157,157,9.941.400,1.567.817.300,761
2021-07-19,0,159,154,155,13.508.700,2.094.766.800,1.498
2021-07-21,0,162,154,160,30.590.400,4.866.759.700,1.677
2021-07-22,0,165,160,165,32.626.500,5.342.595.400,2.223
2021-07-23,0,168,162,164,13.298.600,2.173.983.100,1.373
2021-07-26,0,166,161,162,15.235.500,2.466.144.600,1.107
2021-07-27,0,163,158,159,12.112.200,1.940.310.600,1.193
2021-07-28,0,161,156,156,11.676.100,1.841.241.300,1.127
2021-07-29,0,161,155,160,18.773.300,2.977.627.900,1.325
2021-07-30,0,163,156,156,12.314.100,1.951.917.000,1.298
2021-08-02,0,159,155,157,10.164.800,1.593.936.000,983
2021-08-03,0,161,156,160,17.887.700,2.831.930.200,1.282
2021-08-04,0,163,158,161,22.291.300,3.577.738.000,1.451
2021-08-05,0,168,161,163,56.914.900,9.343.115.500,4.066
2021-08-06,0,166,159,160,27.472.800,4.434.129.400,1.925
2021-08-09,0,167,160,161,44.449.000,7.231.269.500,2.824
2021-08-10,0,163,158,160,15.478.500,2.468.251.900,1.174
2021-08-12,0,162,159,159,11.219.800,1.799.826.800,1.063
2021-08-13,0,161,157,158,14.185.000,2.242.766.600,1.191
2021-08-16,0,160,155,156,18.758.600,2.931.572.400,1.225
2021-08-18,0,160,148,159,63.592.600,9.880.298.400,3.19
2021-08-19,0,161,152,152,28.672.500,4.487.991.000,2.293
2021-08-20,0,156,151,152,18.651.700,2.857.378.300,1.182
2021-08-23,0,159,152,159,19.292.100,3.008.730.300,1.454
2021-08-24,0,164,159,160,26.849.600,4.330.347.000,2.046
2021-08-25,0,163,160,160,12.612.700,2.038.169.000,1.151
2021-08-26,0,161,157,157,8.152.500,1.289.000.400,940
2021-08-27,0,160,154,155,13.370.000,2.086.061.500,1.143
2021-08-30,0,161,155,161,15.573.700,2.476.549.100,1.322
2021-08-31,0,163,159,162,16.158.300,2.601.103.400,1.12
2021-09-01,0,163,159,160,9.605.200,1.545.123.500,882
2021-09-02,0,172,160,172,112.378.900,18.869.986.200,6.148
2021-09-03,0,189,168,172,366.475.100,65.817.246.400,19.705
2021-09-06,0,182,169,177,83.716.300,14.707.995.100,5.236
2021-09-07,0,181,173,176,46.186.500,8.179.470.300,3.095
2021-09-08,0,183,176,177,74.386.200,13.297.138.000,3.755
2021-09-09,0,180,169,172,45.648.400,7.927.076.800,3.029
2021-09-10,0,175,171,172,12.133.500,2.098.623.700,1.199
2021-09-13,0,173,170,172,19.219.900,3.292.811.700,1.31
2021-09-14,0,184,172,183,129.069.600,23.237.430.200,5.674
2021-09-15,0,186,178,179,74.588.900,13.556.876.100,4.305
2021-09-16,0,182,178,178,24.420.400,4.382.314.500,1.931
2021-09-17,0,180,175,176,32.427.000,5.720.911.100,2.038
2021-09-20,0,177,164,165,90.668.200,15.231.524.700,5.34
2021-09-21,0,168,161,167,22.459.700,3.700.182.200,1.819
2021-09-22,0,174,167,169,27.118.100,4.618.967.600,2.024
2021-09-23,0,172,168,171,17.305.800,2.943.026.500,1.38
2021-09-24,0,172,167,167,18.642.200,3.133.409.100,1.589
2021-09-27,0,169,165,168,11.092.500,1.853.510.200,1.053
2021-09-28,0,170,164,164,27.140.700,4.502.748.000,1.685
2021-09-29,0,169,162,167,16.943.700,2.808.496.700,1.433
2021-09-30,0,172,168,169,41.941.100,7.121.601.100,2.756
2021-10-01,0,181,168,176,133.875.000,23.587.403.800,6.393
2021-10-04,0,194,176,190,224.497.500,42.122.606.100,11.127
2021-10-05,0,192,184,186,101.276.000,18.895.686.900,5.926
2021-10-06,0,194,186,188,105.501.700,19.963.204.700,5.623
